initial_solution,final_solution
113175,93182.6
108188,88191.2
113156,83162
113144,73129.8
118164,72172.6
108157,84152.4
113172,83176.6
123164,103161
113194,87199.4
118168,87165
108143,88162
118172,88167
117178,93173.6
108175,98170
108161,73150.6
103186,88169.6
113164,83160.8
112180,93184.4
118188,89176
123179,98194.8
104212,79211.6
123167,83151
113178,83170.2
109155,94152.6
113157,88166
113153,83149
113183,104182
108172,83153.4
112174,93168
118205,82205
108232,98219.6
108177,83182.8
114209,108200
108153,88157
123170,88157
118185,108174
