initial_solution,final_solution
118145,63131.6
113115,88119.4
114181,98187.8
113140,88138.4
118125,93112.6
118143,82111.8
108129,58131.4
113146,93150.8
104130,59098.2
108143,83129.8
117130,78107
113121,88118.2
118135,64137.4
114162,78166
113152,87147.6
109146,98144.6
108184,88180.2
112122,87113
108140,73138.8
109123,88128.4
113134,73132
113147,77140.2
118155,88150.4
118150,98138
118121,83110.6
108107,68108.8
108133,83133
108150,72152
112155,83138.2
118129,83144.2
114149,88146
113187,89185
113149,88154
113133,78148.4
118134,84123.2
113151,98139.2
